"","MYD.CHL.A","MYD.CHL.B","MYD.CHL.C","MYD.MOCK.A","MYD.MOCK.B","MYD.MOCK.C","WT.CHL.A","WT.CHL.B","WT.CHL.C","WT.MOCK.A","WT.MOCK.B","WT.MOCK.C"
"Tlr2",9.07162445749741,9.02537164002547,8.76005538603939,8.36252652293519,8.40314794113407,7.92389036634153,10.1710708814154,10.6962488139099,10.0303162528943,8.74699084929569,8.98432002018732,8.01011571685201
"Fcgr4",8.47228577221741,8.30523784947299,9.05203839405678,8.5259319096182,8.07276664043737,8.19245382629505,10.4271270025588,10.415997353197,10.0849485273331,8.70037042620923,9.15005333138325,8.52654064536998
"Cd300lf",8.85459555289958,8.7986410209728,9.6331440987723,8.63670323031638,8.21933712078999,8.73174636026606,10.4701954802214,10.9063968592257,10.5208135205334,8.52475725189218,8.780579022029,8.58892918063619
"Map3k8",7.85303390123885,7.59481371626265,7.70593118406079,7.68930332696121,7.45861755460308,8.11423797741312,8.90551322691925,9.09187694252776,8.66406277674456,7.83166570690267,7.89616576323444,7.97726141291661
"Clec4a2",7.10782784056639,7.3558510458084,7.61971874023032,7.23588467506018,6.80658248532716,6.99446538435331,8.90269090645387,9.07704043856373,8.84416100026409,6.97775341936846,7.11616346499146,7.01252125361181
"Pla2g7",7.78769289388003,8.04799630666589,7.67228077299198,8.07869026947745,7.75194853741954,7.92340949019793,10.3723987229728,10.6029884933551,9.64751242793877,8.13834384585646,9.08690348477254,8.13816301462167
"Slfn8",7.92095255100647,8.58495907347094,8.59236051617352,7.27540021958509,7.52092512292064,7.01717317406386,9.56177338652864,9.54547776419109,9.12155819465311,7.19471946908148,7.52846651837409,6.85889175332566
"Gpr31b",5.27410108109702,5.04848841146914,5.85535574953021,5.60964216837724,5.31012017345313,5.76954769160688,7.24627884225175,7.32641083792892,6.60058199174144,5.30093848277898,5.18020357091146,5.66323357245878
"Ebi3",7.21943795359388,7.38769118180367,7.51776605436197,7.25333947047161,7.18536334671472,7.40780460272007,8.48321722662389,8.65791598239035,8.82891931670812,7.32927045935147,7.78754096760789,7.20972666017256
"Pvr",7.51698419083422,7.33194318309398,6.63784093004928,7.51219875117714,7.25174603677342,7.78302382872116,8.00591337893121,8.64515490935556,8.17508698651764,7.46308573371548,7.54936359707957,8.19621999059522
"Cxcl13",7.785569822548,8.04946096060821,8.33520092588155,8.03064885792021,6.66973296741559,6.6631373410042,10.9075391768125,11.2653205922858,10.3760260730314,9.53767613093783,7.90772659137354,9.0335515357313
"Cxcl11",6.38014419761345,6.32146396279516,7.02180988047795,6.9495439577748,6.3208656751538,6.32598904345442,9.28044429387845,9.64445909435265,7.58800509839314,6.48527091379497,6.24261785178305,6.39277263078022
"Ikbke",8.26923496373798,8.05170839683228,8.51281845593692,8.20400398554153,8.08419195623993,7.75764539238737,10.1643881461786,10.1872105103647,9.39645738743277,8.29686549463187,8.40562290657546,7.59447081869309
"Clec4e",7.84978716634863,7.86599905361967,8.03358433440351,7.59648312577451,7.29091800243395,7.36517983768271,10.9150852587714,11.4042745487523,10.8867913001908,7.49338711156612,8.18267816734572,7.23218882303891
"Litaf",10.9093461422925,10.9202917672581,9.85566171029387,10.5584459233582,10.2476004460495,10.2861723334248,11.663163734521,12.0618756181943,11.6933662788147,10.5763264439442,10.794037423537,10.4514867833251
"Ly6i",8.89229472155075,9.22512883880025,9.26918695143024,8.71549515997441,8.42639616611591,8.60607030661521,10.6784169179238,11.0272874744303,10.4452547281217,8.6126171299964,9.0309008896183,8.78695691814175
"Cd274",8.81426464865649,9.06916723528974,9.2612721307624,8.58830569191586,8.26240690452517,8.16130348595388,10.6616767476101,11.235136062163,10.3245961507267,8.63479897414122,9.14394866735395,8.16602303442221
"Gpr35",7.75180768721906,8.07073606537819,7.77676478926268,7.67844723244069,7.57906776019604,7.31733608259157,8.9146305815884,9.46158339098273,8.41315550037086,7.78078720486053,8.14768632026027,7.43627859105094
"Ms4a4c",7.09679984043078,7.25143002682159,7.76252570282884,6.7706843436974,5.85473567135545,5.46639270772568,10.1137991574042,9.40582523555833,8.70467754464836,6.59409887632514,7.02428845017798,5.63188854097971
"Slc15a3",8.78126097070736,9.01194099451203,8.75148238271957,8.0083160923444,8.12756522120043,7.54758033386979,10.816527726938,10.9522401420708,9.99840868723593,8.22831735747884,8.57872049961102,7.75672049672348
"Gatm",7.5396754058192,7.96628718433542,7.50619864404791,7.41841028914372,6.78372433663691,7.02439279934658,8.86313317664831,9.34956141505121,8.66241775146738,7.59111422950038,7.57141617457999,6.93567003818435
"Rnf149",10.5361395292154,10.7064962954872,10.2203924275013,10.1392604249866,10.1211013384702,9.75475923113878,11.4838846267996,11.8805469063208,11.3944931504876,9.99158978234147,10.6884589150345,10.263017888654
"Samsn1",7.37309300885003,7.14107692855358,7.26611021182028,7.34291487905389,6.7741806756619,6.56629083367531,8.60616809042848,8.91497311423595,8.16825537451973,7.39768844588734,8.37544475490942,6.54746001476071
"Rab32",7.88347039720081,7.79287156756163,7.32463013203548,7.57220798263177,7.35742384080588,6.86904996784513,9.07526651382041,9.3019436632854,8.34454012532623,7.79538658517188,7.85763919581993,7.05671181778002
"Ms4a6d",8.7948382808655,8.64442175977759,8.89361958035091,7.54480624021541,6.81451010904537,6.57373189880527,11.0583460607216,10.9975119318659,9.98130909849898,7.39555904776998,7.55486701798403,6.71034481348711
"Cd177",7.97371846872768,7.69055740223302,7.70171015209,8.39801690443495,7.39232049351547,7.26236679515887,10.4370813367555,10.7890066030829,9.61164119980446,7.68198751199929,8.53110857118619,7.53192266618304
"Basp1",9.80059697413344,9.68595974844424,9.61326254947869,9.68403678392345,9.08199292756731,8.72514198009806,11.142530669932,11.2492399073571,10.558924092221,9.63161270716448,9.55773003052922,8.83469282357917
"Cyp4f18",8.27687231788779,8.35914164214539,7.87880211647883,7.86236793836604,7.64692387846847,7.5148369605232,9.65092413803292,9.89009956716593,8.99397140085937,8.27380245421331,8.91372287943928,7.47071369957731
"Rnf19b",8.88228030816202,8.84815103287065,7.49340770295023,8.48483306733063,8.26192712316686,8.10652573567083,9.61781968251692,10.1241734360813,9.20215471479141,8.75330607185833,8.92428309728396,8.30222881568726
"Slamf7",6.80608085654802,7.37193307075375,7.16146351433123,6.90016537996685,7.08630995768387,7.08549067502563,8.22076878935868,8.55915869838594,7.59048218021345,6.95352188366659,6.88819303935677,6.46350377250047
"Igsf6",7.23700782869185,6.90790362734312,7.07491046290425,6.57551049857747,6.54353601786617,6.34773510751746,8.70606206603285,8.98259719839228,8.54924247027242,7.1742163097695,7.9644190166483,6.3021544934782
"Nfkbiz",8.95743104747994,7.99777236229397,8.95120730460627,8.80978315438612,7.78120815421755,8.41271208702976,10.6201936957433,10.4758864665402,9.42798565574482,8.86547570476614,9.05066586900907,9.0906685368049
"Hcar2",7.64800456244996,7.77053705649868,8.2611992581856,8.23537634307906,7.91369951185578,7.46354977015252,9.74753133838375,10.6418314559068,9.98626692252072,7.90297305010338,7.75869698067764,7.98283468109562
"Gpr84",7.93796271371362,8.4198101831084,8.22675431548276,7.82229738271602,8.19736333754216,7.99799543682396,9.72531943607636,10.4349577830524,9.72330148889869,8.08201856801985,8.20886568856207,7.86615662714143
"Pik3ap1",7.86317332305411,8.16421986703481,7.55017738790892,7.93491557180975,7.95645106697079,7.75224327625277,8.80937640950624,9.09809142267975,8.72007628799369,8.05860523066706,8.25663619005639,7.61205877314794
"Slamf9",9.62505781109503,9.93741730338081,9.77287181595679,9.46530975973702,9.30970219645235,9.18658863294009,10.9917480388933,10.9800651908728,10.9795762116714,9.52376014991717,9.33206643956986,8.94116247933658
